"117","SCRUM","2019-04-01","2020-07-03","ATE (Emulator), ATE (TV)","57, 262, 67, 65, 476, 522","adrian.guedes, renan.silva, thalita.goncalves, kawe.araujo, Dênnis.Sousa, Andreza.Queiroz","IOT, Lua, RESTful APIs, C++, iOS, Java"
"118","SCRUM","2019-04-01","2020-07-03","TV, Emulator","57, 74, 65, 261, 67, 262, 303, 476, 522","adrian.guedes, renan.silva, thalita.goncalves, leonardo.cordeiro, talles.gomes, kawe.araujo, elyervesson.pereira, Dênnis.Sousa, Andreza.Queiroz","IOT, Lua, RESTful APIs, C++, iOS, Java, Python"
"119","SCRUM","2019-03-01","2021-03-31","Browser: Google Chrome v.62.0.3202.94, Windows 10, Browser: Google Chrome latest version, Browser: Edge v.40.15063.674.0, Browser: Edge latest version, Samsung S6 - 1440 x 2560, Zenfone 5 - 1080 x 2246, Ipad Mini - 2048 x 1536","282, 211, 209, 81, 415, 130, 498, 316","diego.santos, artur.farias, igor.silva, luan.balbino, jonatas.kinas, gutemberg, Renata.Saraiva, Danilo.Pequeno","JavaScript, IOT"
"120","SCRUM","2019-03-01","2021-03-31","SPM, Fonte Auxiliar, Placa de filtro, Placa de potência, Conversor SBC, Placa de gateway, Placa de controle, Circuito de Dessaturação, setup de testes 1.0, setup de testes 1.1, setup de testes 1.2, Setup EAP, Build 47.01.0 beta","282, 248, 416, 415, 370, 316, 417, 498, 467, 398, 130, 211","artur.farias, igor.silva, sydeney.araujo, luan.balbino, jonatas.kinas, joao.matos, montie.vitorino, mauricio.correa, ruan.gomes, gutemberg, Christian.Dias, Danilo.Pequeno",""
"121","SCRUM","2019-04-01","2019-12-31","","387, 174, 388, 403, 344, 271, 209","berg.elisson, renan.barbosa, ext-leandro.biajante, gabriel.lemos, ext-suzane.vianna, ext-rafael.souza, Renata.Saraiva",""
"123","SCRUM","2019-04-01","2020-03-31","Android 8 - Chrome, Android 9 - Chrome, iOS 12 - Safari, Windows 10 - Chrome, Android 7 - Chrome, iOS 12.1 - Chrome, iOS 13.3 - Chrome","5, 359, 305, 324, 326, 242, 220, 448, 27, 363, 411, 211, 482, 500, 425, 516, 281, 560, 544, 447","filipe.ramos, artur.farias, paulo.souto, daniel.abella, marcio.pereira, danilo.coutinho, diogo.miranda, UELIO.camara, gustavo.pires, ermeson.nobrega, francisco.favaro, arthur.araujo, magno.dantas, pablo.santos, marcos.costa, Guthyelvis.Xavier, Lourival.Bonfim, Vitor.Damasceno, Claudio.Carvalho, Agatha.Martins","Web, JavaScript"
"124","SCRUM","2019-05-01","2019-12-13","Chrome Browser 70+, IE11, Microsoft Edge 44","18, 293, 17, 31, 55, 183, 340, 211, 209, 28, 438","andre.albuquerque, artur.farias, arthur.navarro, marcos.leite, aristotenes.vilar, leonardo.cartaxo, anderson.lima, victor.batista, bianca.furtado, kalber.silva, Renata.Saraiva","Android, Web, iOS, Swift, MongoDB, RESTful APIs, Mobile"
"125","SCRUM","2019-05-01","2020-12-31","Android, iOS","33, 248, 94, 209, 490, 494","wagner.leal, mauricio.correa, mailson.costa, Renata.Saraiva, Hércules.Souza, Lucas.Furtado","Android, CouchDB, JavaScript, iOS"
"126","SCRUM","2019-04-04","2020-04-30","Google Chrome, Mozila Firefox","282, 437, 211, 2, 383, 209, 414","artur.farias, franclis.silva, igor.silva, william.barbosa, bruno.vasconcelos, marcelo.brito, Renata.Saraiva","Spring Java"
"127","SCRUM","2019-07-01","2021-12-31","Browser Chrome, Browser Chrome, Stack v1","333, 282, 475, 202, 553, 144, 423, 512, 247, 36, 487, 3","rodrigo, andre.andrade, marcelo.fernandes, andre.muniz, igor.silva, camila.silva, emilio.farias, cristal.mazamba, Johnny.Honorato, Gerson.Vieira, Herbert.Araújo, Tulio.Nóbrega","IoT, iOS"
"128","SCRUM","2019-07-01","2019-11-29","","449, 36, 471","andre.andrade, rony.andrade, Lucas.Wanderley",""
"129","SCRUM","2019-06-01","2021-05-31","Command Prompt - Windows, Terminal - Linux, Chrome, Firefox","538, 351, 105, 311, 457, 453, 205","diego.azevedo, catharine.bezerra, felipe.silva, gilmar.freitas, singrid.palmeira, Lucas.Cabral, Anderson.Silva",""
"131","SCRUM","2019-08-07","2021-03-31","Samsung Galaxy S8, Sony Xperia XZ1, Mi9 Pro 5G, Moverio, Google Chrome, Samsung Galaxy S10, Motorola Edge (5G)","173, 36, 131, 211, 459, 145, 465, 466, 214, 209, 502, 513","thiago.meneses, andre.andrade, artur.farias, franklin.bastos, fabricio.melo, danilo.santos, Renata.Saraiva, Pedro.Lira, Aramis.Araújo, Adauto.Barros, Mateus.Bezerra, Emanuel.Martins","iOS, RESTful APIs, JavaScript, JSON, IOT"
"132","SCRUM","2019-08-01","2020-07-31","","460, 462, 461, 463","Antonio.Filho, Matheus.Almeida, José.Mendes, Bruno.Silva",""
"133","KANBAN","2019-06-01","2020-01-31","Chrome, Firefox, Postman","105, 538, 351","diego.azevedo, catharine.bezerra, Anderson.Silva",""
"134","SCRUM","2019-08-01","2020-07-31","","460, 461","Antonio.Filho, Matheus.Almeida",""
"135","SCRUM","2019-09-01","2020-04-30","Android, iOS","85, 89, 198, 397, 223, 331, 330, 332, 373, 384, 271","wesley.herculano, bruno.brandao, samir.feitosa, andre.gois, ext-adriano.martins, ext-raul.simoes, ext-alex.lima, ext-cristiano, ext-diego.artur, romildo.freitas, berg.elisson","Android, Java, Node.js, Mobile, Web"
"136","SCRUM","2019-09-20","2021-12-30","Chrome 87, ServerStackV1, Firefox","3, 260, 490, 492, 491, 501, 483, 489, 503, 484, 282, 519, 543, 544, 549, 488, 557, 559, 565, 450, 572, 573, 574, 575, 576, 577","rodrigo, leonardo.lima, bruna.cruz, igor.silva, Gustavo.Nunes, John.Lima, José.Oliveira, Eduardo.Pessoa, Hércules.Souza, Waldemar.Coimbra, Ruan.Silva, Gabriel.Costa, Roberto.Oliveira, Enos.Silva, Jose.Falcone, Claudio.Carvalho, José.Sobrinho, Paulo.Leite, Marcelo.Santos, Raimundo.Ludgério, Lucas.Silva, Larrysa.Figueiredo, Isabela.Furtado, Jobson.Batista, Michael.Oliveira, Marcio.Costa",""
"137","SCRUM","2019-09-01","2020-12-31","","281, 209, 481, 71, 169, 354, 173","caio.barbosa, diogo.miranda, jordan.nunes, danilo.santos, antonio.queiroz, Renata.Saraiva, Karam.Takieddine","JavaScript, Python, HTML, RESTful APIs, iOS, IOT"
"138","SCRUM","2019-10-01","2021-05-31","Chrome, Firefox, Linux, Postman","351, 105, 538, 154, 250, 265, 480, 311, 453, 483","wendley.franca, diego.azevedo, catharine.bezerra, carlos.vieira, gilmar.freitas, singrid.palmeira, Daniel.Pires, Adyson.Queiroga, Gustavo.Nunes, Anderson.Silva",""
"139","KANBAN","2019-10-07","2020-09-30","Windows 10, macOS - Catalina - v10.15.2","77, 205, 362, 79, 508, 506, 507, 509, 510, 511, 365, 517, 526, 104","mateus, adelito.farias, robson.sousa, thiago.xavier, felipe.felix, felipe.silva, Joerverson.Santos, Ronily.Morais, Rafael.Ramos, Tiago.Lima, Luiz.Lopes, Julio.Gomes, Sérgio.Correia, Juliana.Medeiros","iOS"
